"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\ACER\Documents\GitHub\TEIATRON\TEIATRON\2807\homem_galinha_nl.py", "Python", -134, -19, -36, -189
"c:\Users\ACER\Documents\GitHub\TEIATRON\TEIATRON\2807\homem_galinha_wl.py", "Python", -98, -19, -25, -142
"c:\Users\ACER\Documents\GitHub\TEIATRON\TEIATRON\2807\iris_nn.py", "Python", -145, -17, -38, -200
"c:\Users\ACER\Documents\GitHub\TEIATRON\TEIATRON\2807\xor_problem_nn.py", "Python", -251, -122, -102, -475
"c:\Users\ACER\Documents\GitHub\TEIATRON\TEIATRON\Bayes_Tests.py", "Python", -121, -53, -55, -229
"c:\Users\ACER\Documents\GitHub\TEIATRON\TEIATRON\base_components.py", "Python", -37, -63, -3, -103
"c:\Users\ACER\Documents\GitHub\TEIATRON\TEIATRON\config.py", "Python", -12, -19, -6, -37
"c:\Users\ACER\Documents\GitHub\TEIATRON\TEIATRON\controller.py", "Python", -161, -1, -37, -199
"c:\Users\ACER\Documents\GitHub\TEIATRON\TEIATRON\data_manager.py", "Python", -115, -6, -29, -150
"c:\Users\ACER\Documents\GitHub\TEIATRON\TEIATRON\main.py", "Python", -376, -51, -103, -530
"c:\Users\ACER\Documents\GitHub\TEIATRON\TEIATRON\ml_engine.py", "Python", -416, -44, -120, -580
"c:\Users\ACER\Documents\GitHub\TEIATRON\TEIATRON\view_accuracy.py", "Python", -59, -112, -12, -183
"c:\Users\ACER\Documents\GitHub\TEIATRON\TEIATRON\view_algorithm.py", "Python", -46, -389, -2, -437
"c:\Users\ACER\Documents\GitHub\TEIATRON\TEIATRON\view_charts.py", "Python", -205, -93, -10, -308
"c:\Users\ACER\Documents\GitHub\TEIATRON\TEIATRON\view_input.py", "Python", -130, -104, -3, -237
"c:\Users\ACER\Documents\GitHub\TEIATRON\legacy\2807\homem_galinha_nl.py", "Python", 134, 19, 36, 189
"c:\Users\ACER\Documents\GitHub\TEIATRON\legacy\2807\homem_galinha_wl.py", "Python", 98, 19, 25, 142
"c:\Users\ACER\Documents\GitHub\TEIATRON\legacy\2807\iris_nn.py", "Python", 145, 17, 38, 200
"c:\Users\ACER\Documents\GitHub\TEIATRON\legacy\2807\xor_problem_nn.py", "Python", 251, 122, 102, 475
"c:\Users\ACER\Documents\GitHub\TEIATRON\legacy\Bayes_Tests.py", "Python", 121, 53, 55, 229
"c:\Users\ACER\Documents\GitHub\TEIATRON\legacy\base_components.py", "Python", 37, 63, 3, 103
"c:\Users\ACER\Documents\GitHub\TEIATRON\legacy\config.py", "Python", 12, 19, 6, 37
"c:\Users\ACER\Documents\GitHub\TEIATRON\legacy\main.py", "Python", 506, 67, 140, 713
"c:\Users\ACER\Documents\GitHub\TEIATRON\legacy\ml_engine.py", "Python", 227, 37, 68, 332
"c:\Users\ACER\Documents\GitHub\TEIATRON\legacy\view_accuracy.py", "Python", 59, 112, 12, 183
"c:\Users\ACER\Documents\GitHub\TEIATRON\legacy\view_algorithm.py", "Python", 46, 355, 2, 403
"c:\Users\ACER\Documents\GitHub\TEIATRON\legacy\view_charts.py", "Python", 300, 93, 10, 403
"c:\Users\ACER\Documents\GitHub\TEIATRON\legacy\view_input.py", "Python", 244, 102, 3, 349
"Total", "-", -126, -34, -81, -241
